measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,44562,Europe,1,Male,12,35-39 years,441,Colon and rectum cancer,1,Number,2011,771.1816106,810.4063313,734.1621908
1,Deaths,44562,Europe,2,Female,12,35-39 years,441,Colon and rectum cancer,1,Number,2011,637.8402478,661.87867,615.9780536
1,Deaths,44562,Europe,1,Male,12,35-39 years,441,Colon and rectum cancer,3,Rate,2011,2.577127062,2.708207844,2.453415932
1,Deaths,44562,Europe,2,Female,12,35-39 years,441,Colon and rectum cancer,3,Rate,2011,2.130827486,2.211132439,2.05779264
1,Deaths,44562,Europe,1,Male,13,40-44 years,441,Colon and rectum cancer,1,Number,2011,1417.866335,1485.331808,1350.741282
1,Deaths,44562,Europe,2,Female,13,40-44 years,441,Colon and rectum cancer,1,Number,2011,1190.238708,1235.569047,1149.735218
1,Deaths,44562,Europe,1,Male,13,40-44 years,441,Colon and rectum cancer,3,Rate,2011,4.789715139,5.017621246,4.56295901
1,Deaths,44562,Europe,2,Female,13,40-44 years,441,Colon and rectum cancer,3,Rate,2011,3.996247729,4.148445152,3.860256537
1,Deaths,44562,Europe,1,Male,14,45-49 years,441,Colon and rectum cancer,1,Number,2011,2976.447768,3116.410469,2862.985349
1,Deaths,44562,Europe,2,Female,14,45-49 years,441,Colon and rectum cancer,1,Number,2011,2408.093115,2495.527347,2313.463615
1,Deaths,44562,Europe,1,Male,14,45-49 years,441,Colon and rectum cancer,3,Rate,2011,9.989327072,10.45905922,9.608533151
1,Deaths,44562,Europe,2,Female,14,45-49 years,441,Colon and rectum cancer,3,Rate,2011,7.856208671,8.14145577,7.547487594
1,Deaths,44562,Europe,1,Male,15,50-54 years,441,Colon and rectum cancer,1,Number,2011,5991.897721,6200.448411,5802.887731
1,Deaths,44562,Europe,2,Female,15,50-54 years,441,Colon and rectum cancer,1,Number,2011,4504.059523,4664.403722,4348.386691
1,Deaths,44562,Europe,1,Male,15,50-54 years,441,Colon and rectum cancer,3,Rate,2011,20.98282039,21.71313688,20.32093282
1,Deaths,44562,Europe,2,Female,15,50-54 years,441,Colon and rectum cancer,3,Rate,2011,14.84884868,15.37746664,14.33563115
1,Deaths,44562,Europe,1,Male,16,55-59 years,441,Colon and rectum cancer,1,Number,2011,10158.9148,10488.73979,9854.969967
1,Deaths,44562,Europe,2,Female,16,55-59 years,441,Colon and rectum cancer,1,Number,2011,6877.205295,7096.972383,6653.209454
1,Deaths,44562,Europe,1,Male,16,55-59 years,441,Colon and rectum cancer,3,Rate,2011,40.14699148,41.45042608,38.94583261
1,Deaths,44562,Europe,2,Female,16,55-59 years,441,Colon and rectum cancer,3,Rate,2011,24.53136636,25.31528754,23.73236098
1,Deaths,44562,Europe,1,Male,17,60-64 years,441,Colon and rectum cancer,1,Number,2011,15011.47293,15430.11776,14595.20481
1,Deaths,44562,Europe,2,Female,17,60-64 years,441,Colon and rectum cancer,1,Number,2011,9627.506933,9976.447722,9213.844196
1,Deaths,44562,Europe,1,Male,17,60-64 years,441,Colon and rectum cancer,3,Rate,2011,68.10771,70.00711993,66.21908331
1,Deaths,44562,Europe,2,Female,17,60-64 years,441,Colon and rectum cancer,3,Rate,2011,37.93566657,39.3106125,36.30569406
1,Deaths,44562,Europe,1,Male,18,65-69 years,441,Colon and rectum cancer,1,Number,2011,15911.81322,16434.61679,15408.06446
1,Deaths,44562,Europe,2,Female,18,65-69 years,441,Colon and rectum cancer,1,Number,2011,10240.50186,10625.91034,9685.454987
1,Deaths,44562,Europe,1,Male,18,65-69 years,441,Colon and rectum cancer,3,Rate,2011,104.7195189,108.1602166,101.4042256
1,Deaths,44562,Europe,2,Female,18,65-69 years,441,Colon and rectum cancer,3,Rate,2011,56.15662464,58.27011863,53.11287156
1,Deaths,44562,Europe,1,Male,19,70-74 years,441,Colon and rectum cancer,1,Number,2011,22594.76989,23384.2486,21731.55414
1,Deaths,44562,Europe,2,Female,19,70-74 years,441,Colon and rectum cancer,1,Number,2011,16981.54589,17671.99228,15862.16331
1,Deaths,44562,Europe,1,Male,19,70-74 years,441,Colon and rectum cancer,3,Rate,2011,154.6026502,160.0045862,148.6961752
1,Deaths,44562,Europe,2,Female,19,70-74 years,441,Colon and rectum cancer,3,Rate,2011,84.80186557,88.24979322,79.21193095
1,Deaths,44562,Europe,1,Male,20,75-79 years,441,Colon and rectum cancer,1,Number,2011,23132.97998,24000.51607,21865.6823
1,Deaths,44562,Europe,2,Female,20,75-79 years,441,Colon and rectum cancer,1,Number,2011,19752.17974,20752.24481,17969.59187
1,Deaths,44562,Europe,1,Male,20,75-79 years,441,Colon and rectum cancer,3,Rate,2011,221.1890879,229.4841505,209.0716513
1,Deaths,44562,Europe,2,Female,20,75-79 years,441,Colon and rectum cancer,3,Rate,2011,126.4673577,132.8704782,115.0539754
1,Deaths,44562,Europe,1,Male,30,80-84 years,441,Colon and rectum cancer,1,Number,2011,21207.94393,22293.38087,19298.79383
1,Deaths,44562,Europe,2,Female,30,80-84 years,441,Colon and rectum cancer,1,Number,2011,23127.44961,24884.6042,19592.6095
1,Deaths,44562,Europe,1,Male,30,80-84 years,441,Colon and rectum cancer,3,Rate,2011,310.7103917,326.6127601,282.7400814
1,Deaths,44562,Europe,2,Female,30,80-84 years,441,Colon and rectum cancer,3,Rate,2011,188.4012204,202.7153828,159.6056462
1,Deaths,44562,Europe,1,Male,31,85-89 years,441,Colon and rectum cancer,1,Number,2011,12472.94882,13493.61774,10844.86358
1,Deaths,44562,Europe,2,Female,31,85-89 years,441,Colon and rectum cancer,1,Number,2011,18621.06464,20563.43998,14826.27302
1,Deaths,44562,Europe,1,Male,31,85-89 years,441,Colon and rectum cancer,3,Rate,2011,412.1578704,445.8849975,358.3591933
1,Deaths,44562,Europe,2,Female,31,85-89 years,441,Colon and rectum cancer,3,Rate,2011,264.6014115,292.2021566,210.6782209
1,Deaths,44562,Europe,1,Male,32,90-94 years,441,Colon and rectum cancer,1,Number,2011,4346.909029,4715.630125,3659.14931
1,Deaths,44562,Europe,2,Female,32,90-94 years,441,Colon and rectum cancer,1,Number,2011,8829.299227,9972.942438,6719.481631
1,Deaths,44562,Europe,1,Male,32,90-94 years,441,Colon and rectum cancer,3,Rate,2011,518.0056782,561.9448588,436.0478002
1,Deaths,44562,Europe,2,Female,32,90-94 years,441,Colon and rectum cancer,3,Rate,2011,367.8729882,415.5229131,279.9673817
1,Deaths,44562,Europe,1,Male,235,95+ years,441,Colon and rectum cancer,1,Number,2011,1220.673621,1360.947987,959.1541386
1,Deaths,44562,Europe,2,Female,235,95+ years,441,Colon and rectum cancer,1,Number,2011,3608.791254,4137.739559,2653.30026
